,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
92,082314-HW,08,23,2014,Biomechanics,HW,1,Chicago Hilton South Loop,1.5,42,0,1,0,0
93,090814-SS,09,08,2014,Superintelligence,SS,1,NW Hughes Auditorium,1.5,80,11,1,0,0
94,091914-PS,09,19,2014,Cinema Slapdown: Gravity,PS,1,"Columbia College, Film Row Cinema",1.5,200,0,2,0,0
95,092014-PS,09,20,2014,Community Cinema: Women In Space,PS,1,"Chicago Cultural Center, Cassidy Theater",1.5,71,0,0,4,0
96,102114-SS,10,21,2014,Science + Cinema,SS,1,"Columbia College, Film Row Cinema",1.5,155,0,5,3,0
97,102914-SS,10,29,2014,Future of Work,SS,2,NW Hughes Auditorium,2,115,0,4,0,0
98,111214-SS,11,12,2014,Decoding The New Science and Math Standards I,SS,1,Skokie Public Library,1.5,50,2,0,0,0
99,111714-CEE,11,17,2014,Nature's Fortune,CEE,1,Blackstone Hotel,1.5,90,0,0,0,0
100,112014-SS,11,20,2014,Decoding The New Science and Math Standards II,SS,1,NW Hughes Auditorium,1.5,32,0,3,2,0
101,120314-SS,12,03,2014,Women in STEM: Connect,SS,1,SAIC Ballroom,1.5,180,0,0,6,2
102,120914-LS,12,09,2014,C2ST Speakeasy: The sex life of reptiles,LS,3,Geek Bar Chicago Beta,1.5,27,0,0,1,1
103,020315-LS,02,03,2015,C2ST Speakeasy: Thinking Outside the WEIRD: Variability in Human Biology,LS,3,Geek Bar Chicago Beta,1.5,26,0,1,0,0
104,020315-LS,02,03,2015,C2ST Speakeasy: Hot or Not? The biology of human attraction,LS,3,Geek Bar Chicago Beta,1.5,24,0,1,0,0
105,020515-HW,02,05,2015,How to be Healthy When You're Older,HW,1,NW Hughes Auditorium,1.5,72,0,2,1,0
106,021115-CEE,02,11,2015,Should America Launch a Major Push into Solar Energy?,CEE,1,IIT Perlstein Hall Auditorium,1.5,180,0,1,0,0
107,021215-CEE,02,12,2015,Water: Chicago in the 21st Century and Beyond,CEE,1,NW Hughes Auditorium,1.5,130,0,2,1,0
108,022115-SS,02,21,2015,American Denial,SS,1,"Chicago Cultural Center, Cassidy Theater",1.5,164,0,0,1,0
109,030315-PS,03,03,2015,C2ST Speakeasy: Vandals of the Void: Damaging Meteors from Chelyabinsk to Chicago,PS,3,Geek Bar Chicago Beta,1.5,43,0,1,0,0
110,031215-SS,03,12,2015,AICHE Engineering Career Day,SS,4,"Hermann Hall, IIT",1.5,400,0,0,0,0
111,032515-SS,03,25,2015,Music - There's a Science to That,SS,1,The Ballroom at the School of the Art Institute of Chicago,1.5,85,34,3,0,0
112,040715-HW,04,07,2015,C2ST Speakeasy: Biomedical Imaging and Personalized Medicine,HW,3,Geek Bar Chicago Beta,1.5,56,0,1,0,0
113,042815-HW,04,28,2015,The Threat of Superbugs,HW,1,"Baldwin Auditorium, Northwestern University",1.5,54,120,4,1,0
114,050415-LS,05,04,2015,"C2ST Speakeasy: Plants: How we Use 'Em, and How We Don't Lose 'Em",LS,3,Geek Bar Chicago Beta,1.5,48,0,0,1,0
115,051315-HW,05,13,2015,When Playing Sports is Bad For Your Brain,HW,1,"Hughes Auditorium, Northwestern University",1.5,34,0,1,2,0
116,060215-LS,06,02,2015,C2ST Speakeasy: Genes and Germs: The Battle that Defines Us,LS,3,Geek Bar Chicago Beta,1.5,41,0,1,0,0
117,070715-HW,07,07,2015,C2ST Speakeasy: The Neuroscience of Addiction,HW,3,Geek Bar Chicago Beta,1.5,57,0,0,1,0
118,072115-TEI,07,21,2015,C2ST Speakeasy: Bio-Inspired Climbing Robots,TEI,3,Geek Bar Chicago Beta,1.5,51,0,1,0,0
119,080415-CEE,08,04,2015,C2ST Speakeasy: The Ecology of Industry,CEE,3,Geek Bar Chicago Beta,1.5,49,0,0,1,1
120,081815-HW,08,18,2015,"C2ST Speakeasy: Diet, Gut Bacteria, and Metabolic Disease: Strategies to Promote Healthy Microbial Communities",HW,3,Geek Bar Chicago Beta,1.5,68,0,0,1,1
121,090115-LS,09,01,2015,C2ST Speakeasy: Why Being Poor Can Also Make You Sick,LS,3,Geek Bar Chicago Beta,1.5,28,0,0,1,0
122,091515-SS,09,15,2015,"C2ST Speakeasy: Sex, Science, and Jokes",SS,3,Geek Bar Chicago Beta,1.5,52,0,1,0,1
123,100115-LS,10,01,2015,What is the BRAIN Initiative?,LS,2,"Hughes Auditorium, Northwestern University",2,163,49,4,0,1
124,100615-CEE,10,06,2015,C2ST Speakeasy: Dirty Secrets: Managing Soil Systems for a Sustainable Future,CEE,3,Geek Bar Chicago Beta,1.5,30,0,0,1,1
125,100715-LS,10,07,2015,Evolution at the South Pole,LS,1,Revolution Brewery,1.5,127,0,1,1,0
