ProgramID,month,day,year,Program Title,program_type_id,fb_post,yt_video,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal),program_series_id
04062017_SS,4,6,2017,The Usefulness of Useless Knowledge,1,,,The Arts Club Chicago,1.5,55,66,1,0,0,2
04112017_SS,4,11,2017,Making Things Meaningful in the Ice Age,1,,,"Conaway Center, Columbia College",1.5,109,43,0,1,0,2
04202017_CEE,4,20,2017,Extreme Science: The U.S. Antarctic Program,1,,,MTCC,1.5,70,15,0,1,0,3
04222017_SS,4,22,2017,March for Science Chicago Booth,4,,,Museum Campus,3.5,615,0,1,3,1,2
04232017_SS,4,23,2017,Party for the Planet Booth,4,,,Brookfield Zoo,6,220,0,0,4,0,2
04242017_SS,4,24,2017,Nothing Academic: Science-themed Improv,1,,,Comedy Clubhouse,2,130,0,12,6,1,2
05022017_LS,5,2,2017,How the new genome-editing technologies in agriculture will change our everyday lives,1,,,Alliance Francais,1.5,49,0,0,1,0,4
05042017_PS,5,4,2017,"Black holes, supernovae, Big Bang: why are gravitational waves a revolutionary discovery?",1,,,Alliance Francais,1.5,67,0,1,0,0,1
05102017_LS,5,10,2017,Urban Nature: Behind the Scenes,1,,,"Arts & Cinema (Room 310), Columbia College",1.5,47,0,3,0,0,4
06122017_SS,6,12,2017,Lawrence Krauss: The Greatest Story Ever Told—So Far,1,,,Pritzker Military Museum & Library,1.5,99,100,1,0,0,2
06202017_HW,6,20,2017,"Dietary Supplements: Stories of Regulation, Safety, and Evidence",3,,,The Radler,1.5,40,0,0,1,0,5
07112017_LS,7,11,2017,Antibiotic Hunters: Discovering Drugs in the Ocean,3,,,The Radler,1.5,60,0,1,0,0,4
08252017_SS,8,25,2017,Curators: Behind the Scenes of Natural History Museums with Lance Grande,1,,,Chicago Maritime Museum,2,62,27,1,0,0,2
09062017_PS,9,6,2017,Fermilab and the New Frontiers of Physics,1,,,Harold Washington Library,2,107,169,3,1,1,1
09122017_TEI,9,12,2017,Chicago's Potemkin Village,3,,,The Radler,1.5,40,0,1,0,0,6
09232017_SS,9,23,2017,Fermilab's Open House Booth,4,,,Fermilab,8,220,0,3,3,2,2
09262017_HW,9,26,2017,New Developments in Mental Health,1,,,Northwestern Baldwin Auditorium,2,60,57,1,3,1,5
10102017_TEI,10,10,2017,Technology and Politics,3,,,The Radler,1.5,47,0,0,1,0,6
10122017_LS,10,12,2017,Alesi: The life and death of an ancestor,1,,,Walter Payton High School,1.5,71,58,1,0,1,4
11132017_SS,11,13,2017,Unconscious Bias,2,,,1871,1.5,139,104,1,3,1,2
11152017_SS,11,15,2017,Math-It's as easy as Pi!,2,,,Roosevelt U - Gantz Hall,1.5,97,74,0,1,1,2
12122017_PS,12,12,2017,In Awe of the Northern Lights,3,,,The Radler,1.5,124,0,1,0,1,1
12142017_CEE,12,14,2017,Strengthening Our Energy Security Future,1,,,Alliance Francais,1.5,58,0,3,0,0,3
01162018_LS,1,16,2018,Genes and Geography,3,,,Pint,1.5,75,0,1,0,0,4
02062018_SS,2,6,2018,Our Chemical Romance,3,,,Pint,1.5,48,0,0,1,0,2
02202018_SS,2,20,2018,Investing in Science and Education: An Act of Faith,2,,,"Founders Room, Field Museum",1,70,0,1,0,0,2
03152018_SS,3,15,2018,NU Women in STEM and Academia Booth,4,,,Prentice Women's Hospital,2,25,0,0,1,0,2
03192018_HW,3,19,2018,Personalized Medicine,2,,,Northwestern Baldwin Auditorium,1.5,61,88,2,2,0,5
03232018_SS,3,23,2018,Science Riot - 1st Show,1,,,"Rice Hall, Field Museum",2,115,0,9,3,4,2
04042018_CEE,4,4,2018,Challenges and Opportunities in an Emerging Solar Economy,1,,,IIT Perlstein Hall,1.5,115,0,1,0,1,3
04042018_SS,4,4,2018,Science is a Verb. We Must Get Sciencing. The World Requires It!,1,,,Fortnightly,2,43,0,0,1,0,2
04052018_SS,4,5,2018,Women in STEM Education and Career Fair at OKRFHS,4,,,Oak Park and River Forrest High School,1.5,65,0,0,3,0,2
04122018_CEE,4,12,2018,The Future of Trees: Hope in a Changing Climate,1,,,Morton Ginko Hall,2,205,216,3,3,0,3
04142018_SS,4,14,2018,Speak up for Science,4,,,Field Museum,3,50,0,1,2,1,2
04202018_SS,4,20,2018,Science Riot - 2nd Show,1,,,Theater on the Lake,2,158,0,9,3,4,2
04222018_SS,4,22,2018,Party for the Planet Booth,4,,,Brookfield Zoo,6,246,0,1,3,0,2
05072018_TEI,5,7,2018,Immersion in the Nanoworld,1,,,Alliance Francais,1.5,49,0,0,1,0,6
05102018_CEE,5,10,2018,Climate Change and Viral Emergence in Humans and Domestic Animals,1,,,Alliance Francais,1.5,55,0,1,0,0,3
05232018_LS,5,23,2018,Origins of the Genus Homo,1,,,Harold Washington Library,1.5,184,0,1,0,0,4
06072018_SS,6,7,2018,Columbia Explorers Academy Career Day,4,,,Columbia Explorers Academy,2,53,0,0,1,0,2
06122018_SS,6,12,2018,Mission to Mars: Team Composition,3,,,Galway Arms,1.5,65,0,0,1,0,2
06142018_CEE,6,14,2018,Extreme Storms,1,,,Harold Washington Library,2,55,261,2,2,1,3
06162018_SS,6,16,2018,Science Friday Recording Booth,4,,,Harris Theater,1.5,60,0,1,1,0,2
08152018_HW,8,15,2018,Sleep and Clocks: Windows to Health,1,,,Horner Park,1.5,41,0,0,1,1,5
09252018_HW,9,25,2018,Head Banging: How Music and Concussions Affect Brain Health,1,,,South Shore Cultural Center,1.5,19,69,0,1,0,5
09272018_PS,9,27,2018,Science in Film: Lessons from the Movie Armageddon,1,,,"Film Row Cinema, Columbia",2,52,77,2,1,0,1
10022018_SS,10,2,2018,Conversations for Science,3,,,Galway Arms,1.5,6,0,2,0,1,2
10102018_TEI,10,10,2018,"Snapchat, Symphonies, and Synapses",3,,,Motor Row Brewing,1.5,42,0,0,1,0,6
11082018_LS,11,8,2018,What Makes Us Human?,1,,,Lincoln Park Zoo,1.5,135,0,1,0,1,4
11092018_LS,11,9,2018,Rise of the Warrior Apes,1,,,"Film Row Cinema, Columbia",2,73,0,1,0,1,4
11122018_TEI,11,12,2018,Darsh Wasan Lecture Booth,4,,,IIT Hermann Hall,1,28,0,0,1,0,6
11282018_CEE,11,28,2018,Indigenous Science,1,,,Chicago Cultural Center - Preston Bradley Hall,2,239,0,2,1,3,3
12052018_CEE,12,5,2018,Food Evolution,1,,,"Film Row Cinema, Columbia",2.5,95,33,2,3,0,3
12122018_HW,12,12,2018,"Bionics, Robotics, and the Future of Rehabilitation",2,,,Shirley Ryan AbilityLab,2.5,77,33,2,2,2,5
02062019_TEI,2,6,2019,Array of Things,1,,,Harold Washington Library,2,67,77,1,1,0,6
