in_programs_tbl,video_code,Video,video_title,month,day,year,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
N,09092016_U,4KmSR_OTOKc,The Secret Lives of Female Chimpanzees Highlights,9,9,2016,164,2.4623,0,3821,1.44
N,11072013_U,UWUkftOPyqk,Chemical Innovations - Molecular Modeling: A Window to the Biochemical World -Greogory A.Voth,11,7,2013,158,19.8456,1,2210,1.72
N,02102015_U,ObqfPjnEl90,"How to be Healthy When You're Older - Wojtek Chodzko‑Zajko, William Dale, and Louise Hawkley",2,10,2015,157,18.199,0,1658,1.81
Y,08252017_SS,GV8uZdLQZFQ,Curators: Behind The Scenes of Natural History Museums with Lance Grande,8,26,2017,156,18.6952,1,1756,1.54
Y,04042018_CEE,z7AytS8gzsU,Challenges and Opportunities in an Emerging Solar Economy,5,21,2018,152,24.0489,2,2549,1.88
N,06072012_U,CxRHk1u8Lmc,Nano Technology Small is Beautiful - Mark Ratner and Milan Mrksich,6,7,2012,149,13.45,0,2144,2.52
N,05152019_U,yVzlqMDry8k,"Food for Thought: Connections Between Nutrition and Brain Health, Presentation",5,15,2019,148,18.1983,1,1909,1.2
N,12092014_U,HR4ICe5jRQI,"Decoding the New Science + Math Standards - M. Lach, B. Reiser, L. Narasimhan, K. Poppenhouse, etc.",12,9,2014,146,5.9254,0,2551,2.16
N,01312014_U,Thi6iZ4KVts,"The Nature of Nano - Amanda K. Petford-Long, Adam Khan",1,31,2014,143,13.7999,1,1804,1.83
N,07092020_U,nHgXJqf8OHc,Science from the Frontlines: Engineering at the Service of Humanity,7,9,2020,142,31.0497,2,1750,1.26
N,07092020_U,a_FO3w8d60E,Science from the Frontlines: Engineering at the Service of Humanity,7,9,2020,6,0.0134,0,581,0.69
N,03292018_U,oVgf9YaAp38,Personalized Medicine - One size does not fit all!,3,29,2018,138,12.3203,0,2779,1.22
Y,06202017_HW,AXt_i-6ZnwU,"Dietary Supplements: Stories of Regulation, Safety, and Evidence",6,26,2017,137,13.0809,0,3639,1.84
N,10272018_U,8XJ3RKryFDs,Lessons from the Movie Armageddon,10,27,2018,135,14.0852,1,17217,0.35
N,06232014_U,9WXrJUiduHc,"ChicaGO Science - Kapila Viges, C2ST, and HDMZ",6,23,2014,134,1.8103,0,1653,1.09
N,10252019_U,JJbByC1-LGI,The Earliest Child The Significance of “Selam”,10,25,2019,134,26.7639,1,1766,1.59
N,09182017_U,Jgin0t8vwDc,"Chicago's Potemkin Village: Why our innovation economy has failed, and how to fix it",9,18,2017,134,4.9063,0,1562,1.09
N,08222018_U,7sKAjcqaLOY,"Sleep and Clocks, Windows to Health",8,22,2018,132,16.3157,0,1357,2.14
N,01182013_U,vHoL2poX_3E,Exploring the Universe from the Bottom of the World -  John Carlstrom,1,18,2013,131,63.2526,0,1187,2.7
N,09272012_U,5TmQY-oE338,"Secrets of the Art World Unlocked - Katherine T. Faber, Kimberly A. Gray and David C. Dunand",9,27,2012,130,4.8829,0,1638,2.69
N,11192014_U,dew9hHU1_6I,The Future of Work Highlight - Joel Mokyr,11,19,2014,130,2.1433,0,1081,1.94
Y,08052020_HW,toabem5XXQc,Mindfully Coping: Strategies for Children and Families During a Pandemic,8,5,2020,129,20.2007,3,2712,1.03
N,11182013_U,Da83KkZvWiI,Out for the Sperm Count: Mysteries of a Declining Resource - Robert Martin,11,18,2013,126,14.9333,0,7570,0.66
Y,06172020_PS,JHHoSQfotqQ,"Art, Science, and the Elegant Universe",6,18,2020,126,31.7365,9,367,4.09
Y,06172020_PS,JHHoSQfotqQ,"Art, Science, and the Elegant Universe",6,18,2020,126,31.7365,9,367,4.09
Y,06172020_PS,fgFm0rv5pFE,"Art, Science, and the Elegant Universe",6,17,2020,72,6.6846,2,3363,1.04
Y,06172020_PS,fgFm0rv5pFE,"Art, Science, and the Elegant Universe",6,17,2020,72,6.6846,2,3363,1.04
N,09172014_U,qmPCnjIy0H8,"Superintelligence: Paths, Dangers, and Strategies - Nick Bostrom",9,17,2014,125,15.1481,0,2870,1.29
N,05272020_U,-AdgTbVXQbk,Science From the Frontlines: Sanitizer & Spirits,5,27,2020,121,31.0052,3,1475,1.36
Y,09262017_HW,NDDLup4NgIA,New Developments In Mental Health,11,1,2017,121,19.9775,1,2894,1.24
Y,09262017_HW,NDDLup4NgIA,New Developments In Mental Health,11,1,2017,121,19.9775,1,2894,1.24
Y,09262017_HW,lk_jExW1wjE,New Developments in Mental Health,10,3,2017,43,4.046,0,0,
Y,09262017_HW,lk_jExW1wjE,New Developments in Mental Health,10,3,2017,43,4.046,0,0,
N,12102014_U,VCyIVWJygI4,2014 Women in STEM: Connect Highlight  - Emily Graslie,12,10,2014,121,2.7728,1,1782,3.37
Y,07212020_TEI,N8Pc8FyKfVM,3D Printing in Action: An Introduction to Digital Fabrication,7,21,2020,120,17.7132,3,1737,1.27
Y,08272020_LS,S0xgXS4a4uI,Lessons in Biology Taught by a Pathogen,8,27,2020,119,27.5997,4,1353,1.85
N,10152018_U,CCl8biQEHSo,Science Riot Highlights,10,15,2018,117,3.8542,0,899,2.11
N,06032020_U,jyF4xHtG_K0,Science From the Frontlines:Virus Entry into Cells,6,3,2020,117,19.4394,8,256,5.86
N,01132014_U,tm-zqCMYGPo,When Crocs Ate Dinosaurs - Paul Sareno,1,13,2014,116,2.9082,0,2604,1.88
Y,10052019_HW,S3_sq7jMDic,Filtering the Facts of Kidney Health,10,22,2019,115,6.6792,1,2889,1
N,03092016_U,JLcX5nKrHdw,"How We Treat Cancer (Recorded Thursday, February 25th, 2016)",3,9,2016,113,12.3373,0,1213,1.73
N,02212015_U,ep81j6lrtow,"How to be Healthy When You're Older Highlights - W. Chodzko‑Zajko, W. Dale, and L. Hawkley",2,21,2015,112,2.4238,0,1413,2.19
N,05052017_U,-7d9JvljA5k,Extreme Science The U S  Antarctic Program Highlights With Kelly Kenison Falkner,5,5,2017,110,3.1198,0,3234,1.33
N,05052015_U,-IngIy99KMo,"The Threat of Superbugs - Robert A. Weinstein, Robert S. Daum, Scott Franzblau, and Michael Federle",5,5,2015,109,12.1893,2,1747,1.49
N,04292015_U,R1Pqri0rTJY,"The Threat of Superbugs - Robert A. Weinstein, Robert S. Daum, Scott Franzblau, and Michael Federle",4,29,2015,,,,1,0
N,06032015_U,svLflyS1H5Y,When Playing Sports is Bad For Your Brain - Highlights,6,3,2015,109,2.0671,0,1760,3.01
N,12192015_U,X8ImshJZAs4,"Women in STEM: Connect 2015. Interview with Kapila Viges, Mary Bauer and Debra Shore",12,19,2015,107,1.0091,0,1878,0.37
N,12072015_U,qZPpF4CIHkM,"A Picture is Worth 1000 Words--Teaching Science With Comics, with MK Czerwiec",12,7,2015,107,11.1609,0,3857,0.99
Y,04122018_CEE,aja10Wlvafs,The Future of Trees: Hope in a Changing Climate,4,16,2018,104,12.789,2,1728,1.33
N,04212016_U,zSCNdnypA2U,The Science of Addiction Highlights,4,21,2016,104,4.3601,0,970,1.03
N,12012017_U,jELZy2xl9dI,Mathematics--It's as Easy as Pi!,12,1,2017,101,9.6268,1,1325,1.66
N,11202017_U,wnUVJIQeFvw,Mathematics--It's as Easy as Pi!,11,20,2017,43,8.2866,2,35,0
N,06172019_U,BNfmjmGFa2M,"C2ST Presents the 2018 FNIH Lurie Prize in Biomedical Sciences Winner Zhijian ‘James’ Chen, PhD",6,17,2019,100,13.4924,1,1814,3.31
Y,06142018_CEE,-Hiyx7HRCKw,Extreme Storms,6,25,2018,97,13.721,1,880,3.41
N,05232019_U,Uh7I-37tQMQ,"The Long and Short of Proteomics, How Proteins Shape Who We Are",5,23,2019,97,8.0053,1,1255,2.95
N,01102020_U,GRjVC0cZx5Q,Program Q&A: The Art of Logic with Dr. Eugenia Cheng,1,10,2020,95,8.0824,0,1454,2.48
Y,10102017_TEI,dG5ZuXZ4CRE,Technology and Politics,12,27,2017,92,2.9945,0,1004,5.08
N,12082018_U,UVoTXwVD8ec,C2ST and 2Blades Present: Food Evolution,12,8,2018,91,6.7764,0,1392,1.72
N,01072019_U,AcVkbMeXRT0,"C2ST and 2Blades Present: Food Evolution, Highlights",1,7,2019,87,2.762,0,1050,2.57
N,12112014_U,zirDb0caM-g,"2014 Women in STEM - E. Graslie, C. Thomas, A. Schlenker, O. Alabi, S. Hallen, and C. Phillips",12,11,2014,86,4.9256,0,1319,2.65
N,06172019_U,koFdD2GCBgc,Alvin H. Baum Family Fund Environmental Series: Does Recycling Still Matter? Program,6,17,2019,82,7.163,1,1258,0.87
Y,10012015_LS,yS0Uuox1FzM,What is the BRAIN Initiative?,10,2,2015,81,11.513,1,1118,1.88
N,11192014_U,XopRqdd-7BE,Decoding the New Science and Math Standards Highlight - Mary Rockrohr,11,19,2014,78,1.0376,0,708,0.99
N,10272018_U,_OqaoulZG0Q,"Science Riot - Travis Gallo, PhD",10,27,2018,77,3.0549,0,797,3.39
N,04302012_U,kvpQoLmXwyc,"The Mind of a Chimpanzee - Elizabeth Lonsdorf, Steve Ross",4,30,2012,77,6.9985,0,770,2.47
Y,04042018_SS,UnCSWLE7Cmg,Science is a Verb. We Must Get Sciencing. The World Requires It!,4,14,2018,76,4.6509,1,1082,1.48
N,12072017_U,KoGLipprvEo,Unconscious Bias Highlights,12,7,2017,74,1.3807,0,664,1.51
N,12052011_U,Y-WPTlI1QdQ,"Street Corner Science Ask a Nobel Laureate Highlights, September 2011 - Leon Lederman",12,5,2011,74,1.7976,0,2374,1.18
N,02142019_U,5PBWi0hYSo8,Array of Things Highlights,2,14,2019,73,2.3073,0,796,2.64
Y,02062019_TEI,vejzqy8CNc8,Array of Things,2,12,2019,69,5.552,0,1047,3.06
Y,03092016_CEE,MmH9cveACvY,Climate Disruption: What We Can Do Now,3,10,2016,68,4.0667,0,590,2.54
N,11192014_U,joDR_Vp5Flg,Decoding the New Science + Math Standards Highlight - Brian Reiser,11,19,2014,68,1.3495,0,1000,0.4
N,10242019_U,rAACBWm0c5A,Talking Trees with Author Richard Powers (Audio Only),10,24,2019,66,6.2303,0,654,1.38
N,06172019_U,RSqfHO4BKv0,"Program Q&A, The 2018 FNIH Lurie Prize in Biomedical Sciences Winner Zhijian ‘James’ Chen, PhD",6,17,2019,65,8.336,0,1197,2.51
N,10152018_U,ByR7n5P7jX4,Science Riot - Juanita Garcia,10,15,2018,63,1.4361,0,845,2.13
N,11072013_U,YsUgHpIlLe4,Investing in Innovation for the Future: Science and Technology 3/21/2013 - Robert D. Atkinson,11,7,2013,63,7.6475,0,1191,1.43
